Nombre;Turnos;Horas_trabajadas;Horas_contratadas
Andres;C PT FT N FT N PT N N C FT C FT N C C C FT C C DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;198;200
Carols;C C N N N C FT FT N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;96;100
Manuela;N N N C C N N N N N C N FT DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;150;150
Manuel;C C FT C C C C C C N PT C N C N PT PT DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;180;180
Carolina;PT N C C N N PT C N PT PT FT C N N N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;162;250
Ramón;C N FT PT N N C FT N FT N N C N C N C N C N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;216;220
Juan;C C FT FT N C PT N C C C PT DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;120;120
Delfina;C N FT C C C C PT N PT C C N FT C C C C N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;204;210
Caterine;PT C N N N N C C FT N C FT C PT N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;156;160
Austin;N C N C PT N C C N N FT N PT C PT DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;156;190
Ekeler;C C FT N C N C PT PT DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;90;95
Jason;N N PT N C PT C N N N C C C FT C N FT C DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;192;300
Jaime;C N PT C C C PT C PT FT FT PT C N FT N N C N N N N N FT DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;240;320
Sebastian;N C C FT N PT N C N N FT C N FT C PT C C C N N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;222;480
Antonia;N N PT C PT N N C N C N N FT C N C N N C N DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA DESCANSA;222;230
