Nombre del Estudiante,Nota1,Nota2,Nota3,Nota4,Nota5,Nota6
Juan Pérez,0.7500000000000001,0.65,0.4666666666666667,0.7000000000000001,0.7333333333333335,0.7666666666666667
María García,0.6333333333333334,0.7000000000000001,0.5,0.5666666666666668,0.6666666666666667,0.7500000000000001
Luis Rodríguez,0.7000000000000001,0.65,0.6666666666666667,0.55,0.7833333333333334,0.6833333333333333
Ana Martínez,0.5833333333333334,0.6000000000000001,0.6666666666666667,0.6333333333333334,0.5666666666666668,0.7500000000000001
Carlos Sánchez,0.5,0.7000000000000001,0.6833333333333333,0.65,0.7166666666666667,0.7333333333333335
Sofía López,0.7333333333333335,0.7000000000000001,0.65,0.6666666666666667,0.6833333333333333,0.65
Pedro Ramírez,0.7166666666666667,0.6666666666666667,0.6333333333333334,0.7166666666666667,0.6166666666666668,0.7666666666666667
Laura Fernández,0.7833333333333334,0.65,0.6833333333333333,0.5833333333333334,0.6666666666666667,0.7000000000000001
Miguel González,0.65,0.6666666666666667,0.5833333333333334,0.7000000000000001,0.6333333333333334,0.7166666666666667
Isabel Torres,0.7000000000000001,0.7166666666666667,0.6666666666666667,0.65,0.5833333333333334,0.6666666666666667
